,category,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21,sensor22,sensor23,sensor24,sensor25,sensor26,sensor27,sensor28,sensor29,sensor30,sensor31,sensor32,sensor33,sensor34,sensor35,sensor36,sensor37,sensor38,sensor39,sensor40,sensor41,sensor42,sensor43,sensor44,sensor45,sensor46,sensor47,sensor48,sensor49,sensor50,sensor51,sensor52,sensor53,sensor54,sensor55,sensor56,sensor57,sensor58,sensor59,sensor60,sensor61,sensor62,sensor63,sensor64,sensor65,sensor66
28,coffee,18023.4,18029.3,39697.9,39805.8,39731.5,33839.6,33859.8,33844.7,19948.6,19943.6,19948.9,15718.4,15714.2,15715.6,20981.5,20964.7,27064.5,27038.4,8488.5,8487.9,8485.6,14099.5,14099.6,14104.7,26402.4,26378.8,26391.3,47191.5,47174.3,47195.8,19185.2,19185.0,41169.3,41217.3,39391.1,39431.2,39445.7,196798.1,196772.0,196320.9,102751.0,102432.5,102611.0,106635.0,106650.3,106754.6,118998.9,119389.3,1668398.2,1680406.5,53968.0,54029.8,54048.5,17106.2,17105.6,17101.9,1092.6,1092.5,1092.5,5357.7,5362.2,5364.6,28577.3,28627.6,26.809999,45.980000
29,coffee,18029.2,18030.8,39750.7,39752.3,39780.9,34055.5,34047.3,34065.4,19956.6,19952.8,19956.4,15774.1,15774.3,15771.1,20970.5,20973.2,27092.9,27034.4,8489.4,8490.0,8490.1,14099.8,14104.2,14108.1,26462.4,26456.5,26456.3,47321.2,47315.2,47263.8,19191.3,19197.9,41313.6,41227.3,39420.0,39452.9,39415.4,197493.6,196398.6,196427.8,102567.6,102624.2,102553.5,106962.8,107225.1,106959.0,119262.5,118920.4,1603035.1,1645116.5,54037.9,54095.5,54045.5,17108.1,17104.3,17112.3,1092.6,1092.5,1092.5,5360.5,5365.0,5367.1,28618.9,28609.9,26.809999,46.060001
30,coffee,18036.4,18042.9,39849.0,39841.9,39868.8,34119.4,34106.9,34113.8,19957.0,19956.6,19956.6,15813.6,15814.8,15818.1,20973.3,20975.8,27078.3,27043.4,8492.1,8492.1,8491.6,14100.0,14100.2,14103.3,26522.7,26516.8,26523.2,47434.2,47409.0,47410.7,19199.7,19199.2,41220.9,41239.6,39571.4,39485.7,39453.5,196944.6,195685.0,196746.0,102796.3,102929.7,102379.6,107231.8,107292.8,107567.3,119672.7,119108.5,1659793.2,1562437.2,54150.4,54168.7,54166.5,17113.0,17110.5,17115.2,1092.6,1092.5,1092.5,5364.5,5367.6,5372.4,28627.7,28596.2,26.830000,45.770000
31,coffee,18038.1,18037.4,39905.2,39896.6,39868.8,34232.8,34234.9,34227.8,19968.8,19969.8,19970.9,15859.4,15857.2,15851.0,20967.8,20971.0,27071.9,27055.8,8492.9,8494.5,8493.2,14101.6,14101.4,14100.6,26565.9,26557.8,26536.7,47475.5,47518.6,47529.8,19208.6,19203.6,41205.3,41216.7,39618.1,39583.8,39504.8,195884.6,196612.7,196505.6,102912.8,103024.2,102729.7,107162.3,107283.1,107445.9,119232.6,119384.5,1595516.8,1626687.0,54208.5,54167.0,54193.4,17111.9,17120.1,17110.2,1092.6,1092.5,1092.5,5367.9,5370.2,5373.4,28613.3,28642.6,26.840000,45.500000
32,coffee,18049.5,18051.8,39905.2,39934.3,39898.4,34239.7,34219.3,34226.4,19987.5,19976.3,19979.4,15889.9,15892.9,15892.9,20966.8,20961.4,27097.0,27064.1,8496.5,8495.7,8494.2,14097.3,14104.7,14105.7,26599.5,26588.0,26595.1,47588.8,47643.7,47601.2,19200.8,19210.6,41219.3,41243.6,39578.4,39643.1,39681.4,195797.6,197261.2,196925.0,103168.9,103128.7,102851.4,107425.5,107438.1,107537.2,119372.6,119419.3,1626242.8,1690186.2,54206.5,54303.8,54242.6,17114.4,17119.7,17108.8,1092.6,1092.5,1092.5,5370.7,5374.6,5377.6,28611.6,28648.8,26.830000,45.220001
33,coffee,18056.1,18057.0,39946.4,39932.2,39912.3,34337.1,34329.9,34338.4,19989.1,19985.5,19998.2,15933.3,15931.9,15928.7,20965.6,20973.0,27085.5,27057.5,8496.3,8494.2,8493.7,14102.7,14104.5,14122.5,26654.8,26650.9,26640.5,47662.3,47648.1,47684.1,19217.3,19213.4,41234.9,41273.9,39739.5,39777.0,39707.6,196879.4,196746.0,196036.3,103035.8,102855.0,103126.9,107287.0,107523.6,107565.4,119391.7,119510.5,1624024.6,1641035.4,54309.0,54353.7,54291.2,17130.1,17124.6,17121.5,1092.6,1092.5,1092.5,5374.5,5378.7,5380.5,28650.8,28633.6,26.850000,45.189999
34,coffee,18070.9,18064.5,40062.3,40054.3,40043.2,34551.5,34546.8,34525.0,19995.0,20000.9,20004.5,15994.2,15983.3,15986.8,20972.0,20968.6,27085.8,27005.3,8499.2,8497.1,8501.1,14101.6,14103.7,14107.7,26723.1,26729.7,26736.4,47811.1,47819.0,47800.3,19221.9,19216.7,41301.0,41291.8,39758.3,39796.0,39796.5,196817.6,196029.8,196912.0,103202.0,103151.0,103135.8,107880.4,108058.8,107920.5,119250.5,119248.1,1672147.0,1637424.6,54409.2,54378.6,54328.4,17123.1,17119.7,17129.9,1092.6,1092.5,1092.5,5375.5,5379.0,5381.4,28672.5,28639.9,26.870001,45.049999
35,coffee,18049.6,18059.2,40072.5,40034.7,40063.3,34395.5,34379.8,34394.6,19999.7,20006.5,20004.6,15993.1,15993.8,15989.6,20961.7,20963.6,27088.9,27068.3,8498.3,8499.2,8497.0,14105.0,14116.9,14110.2,26710.8,26721.2,26718.1,47794.2,47811.1,47804.0,19211.8,19219.1,41253.1,41361.4,39751.0,39719.3,39786.6,196479.7,197608.4,197104.4,102887.9,103090.3,103222.6,107662.7,107328.6,107596.5,119297.2,119245.8,1671677.4,1633157.5,54373.1,54355.7,54387.3,17122.8,17129.3,17125.9,1092.6,1092.5,1092.5,5380.8,5384.2,5387.0,28638.5,28655.0,26.850000,44.610001
36,coffee,18075.0,18078.1,40151.6,40177.7,40210.1,34596.5,34570.5,34582.2,20019.3,20019.3,20015.9,16052.5,16051.5,16048.5,20959.4,20980.5,27088.3,27035.0,8503.5,8499.7,8500.2,14112.1,14116.4,14121.0,26820.9,26792.8,26807.9,47882.0,47975.6,47945.0,19248.1,19227.3,41252.5,41254.5,39724.2,39838.0,39778.0,196586.8,196811.1,197326.6,103330.2,103279.1,103277.3,107970.5,107937.2,108287.0,119590.9,119313.9,1573587.6,1677565.5,54431.7,54484.3,54453.6,17135.4,17135.1,17131.2,1092.6,1092.5,1092.5,5383.0,5386.7,5389.3,28638.1,28669.9,26.870001,44.730000
37,coffee,18073.4,18086.3,40213.1,40238.8,40221.0,34721.4,34724.5,34726.2,20020.0,20023.6,20030.9,16103.7,16104.1,16106.2,20968.4,20969.4,27090.1,27057.8,8502.8,8501.3,8501.7,14118.1,14119.4,14121.0,26846.5,26866.1,26871.9,48111.9,48094.4,48098.1,19229.6,19231.7,41259.8,41297.1,39847.6,39877.2,39945.3,196518.6,196599.7,197660.9,102931.5,103297.9,103218.2,108869.6,108358.0,108202.2,119461.3,118878.8,1608883.4,1672147.0,54504.3,54553.6,54579.6,17135.3,17122.6,17139.3,1092.6,1092.5,1092.5,5385.2,5389.3,5391.0,28680.4,28655.2,26.870001,44.660000
38,coffee,18086.3,18080.3,40288.5,40316.8,40294.4,34685.0,34663.8,34700.6,20022.2,20031.5,20044.3,16120.8,16119.5,16117.9,20991.2,20979.2,27092.6,27066.1,8500.3,8500.4,8501.0,14123.7,14126.0,14127.9,26883.4,26869.5,26869.3,48165.5,48179.4,48121.5,19240.4,19237.1,41301.3,41237.2,39906.8,39891.1,39887.1,197729.9,196840.4,197595.3,103222.6,103636.3,103387.7,108329.3,108050.9,108089.2,119208.7,119394.1,1642393.4,1637875.0,54620.2,54588.9,54553.6,17133.9,17138.2,17135.5,1092.6,1092.5,1092.5,5391.2,5394.5,5397.5,28684.9,28687.6,26.879999,44.320000
39,coffee,18093.4,18096.6,40490.5,40507.5,40486.8,35009.5,34983.5,34999.9,20062.2,20058.6,20049.1,16195.9,16192.2,16197.1,20986.3,20980.8,27101.4,27052.2,8509.0,8506.5,8505.0,14139.1,14143.0,14140.5,27017.5,27008.1,27008.7,48355.3,48323.0,48334.4,19252.0,19244.0,41309.2,41298.3,40036.6,40064.3,40106.6,197000.0,198750.2,198101.8,103844.4,103715.8,103699.5,109231.5,109451.6,109346.9,119512.9,119458.9,1649446.4,1601741.1,54765.2,54842.8,54779.6,17150.2,17152.2,17146.4,1092.6,1092.6,1092.5,5397.9,5401.5,5404.1,28683.8,28706.4,26.879999,44.299999
40,coffee,18108.0,18112.8,40649.5,40652.2,40654.6,35424.7,35426.6,35427.2,20062.7,20057.6,20055.3,16283.5,16281.8,16280.8,20982.1,20991.4,27092.2,27054.8,8509.4,8508.5,8510.2,14148.0,14149.0,14153.9,27122.3,27106.7,27100.1,48514.6,48539.3,48472.4,19247.2,19252.3,41298.3,41314.5,40121.4,40144.4,40128.3,198213.9,198710.3,198717.0,103638.1,103312.3,103697.7,109239.5,109518.1,109526.1,119342.6,119576.5,1632261.8,1677093.0,54794.5,54830.4,54817.2,17147.9,17144.2,17143.5,1092.6,1092.6,1092.5,5402.9,5407.7,5409.7,28697.1,28717.4,26.879999,43.790001
